timestamp,value
2022-07-01T00:00:00Z,572
2022-07-02T00:00:00Z,242
2022-07-03T00:00:00Z,286
2022-07-04T00:00:00Z,444
2022-07-05T00:00:00Z,493
2022-07-06T00:00:00Z,660
2022-07-07T00:00:00Z,767
2022-07-08T00:00:00Z,521
2022-07-09T00:00:00Z,300
2022-07-10T00:00:00Z,299
2022-07-11T00:00:00Z,611
2022-07-12T00:00:00Z,565
2022-07-13T00:00:00Z,720
2022-07-14T00:00:00Z,611
2022-07-15T00:00:00Z,525
2022-07-16T00:00:00Z,274
2022-07-17T00:00:00Z,269
2022-07-18T00:00:00Z,467
2022-07-19T00:00:00Z,669
2022-07-20T00:00:00Z,676
2022-07-21T00:00:00Z,609
2022-07-22T00:00:00Z,567
2022-07-23T00:00:00Z,298
2022-07-24T00:00:00Z,249
2022-07-25T00:00:00Z,606
2022-07-26T00:00:00Z,673
2022-07-27T00:00:00Z,589
2022-07-28T00:00:00Z,544
2022-07-29T00:00:00Z,526
2022-07-30T00:00:00Z,254
2022-07-31T00:00:00Z,350
2022-08-01T00:00:00Z,579
2022-08-02T00:00:00Z,501
2022-08-03T00:00:00Z,493
2022-08-04T00:00:00Z,661
2022-08-05T00:00:00Z,596
2022-08-06T00:00:00Z,357
2022-08-07T00:00:00Z,209
2022-08-08T00:00:00Z,531
2022-08-09T00:00:00Z,499
2022-08-10T00:00:00Z,632
2022-08-11T00:00:00Z,571
2022-08-12T00:00:00Z,520
2022-08-13T00:00:00Z,245
2022-08-14T00:00:00Z,278
2022-08-15T00:00:00Z,491
2022-08-16T00:00:00Z,463
2022-08-17T00:00:00Z,547
2022-08-18T00:00:00Z,573
2022-08-19T00:00:00Z,476
2022-08-20T00:00:00Z,298
2022-08-21T00:00:00Z,205
2022-08-22T00:00:00Z,528
2022-08-23T00:00:00Z,486
2022-08-24T00:00:00Z,553
2022-08-25T00:00:00Z,515
2022-08-26T00:00:00Z,494
2022-08-27T00:00:00Z,219
2022-08-28T00:00:00Z,230
2022-08-29T00:00:00Z,447
2022-08-30T00:00:00Z,482
2022-08-31T00:00:00Z,537
2022-09-01T00:00:00Z,531
2022-09-02T00:00:00Z,438
2022-09-03T00:00:00Z,266
2022-09-04T00:00:00Z,177
2022-09-05T00:00:00Z,359
2022-09-06T00:00:00Z,468
2022-09-07T00:00:00Z,530
2022-09-08T00:00:00Z,482
2022-09-09T00:00:00Z,382
2022-09-10T00:00:00Z,228
2022-09-11T00:00:00Z,259
2022-09-12T00:00:00Z,478
2022-09-13T00:00:00Z,482
2022-09-14T00:00:00Z,550
2022-09-15T00:00:00Z,500
2022-09-16T00:00:00Z,488
2022-09-17T00:00:00Z,214
2022-09-18T00:00:00Z,202
2022-09-19T00:00:00Z,564
2022-09-20T00:00:00Z,416
2022-09-21T00:00:00Z,456
2022-09-22T00:00:00Z,571
2022-09-23T00:00:00Z,365
2022-09-24T00:00:00Z,221
2022-09-25T00:00:00Z,222
2022-09-26T00:00:00Z,454
2022-09-27T00:00:00Z,460
2022-09-28T00:00:00Z,503
2022-09-29T00:00:00Z,214
